,Attendees,Sex,Average_height,Average_weight,Sport,Team
3155,10,F,166.1,61.4,Snowboarding,Finland
3156,10,F,166.4,61.7,Snowboarding,Netherlands
3157,10,M,181.2,73.9,Speed Skating,Belarus
3158,10,M,179.9,76.0,Speed Skating,Ukraine
3159,10,M,191.2,84.0,Swimming,Chile
3160,10,M,188.4,80.7,Swimming,Netherlands Antilles
3161,10,F,169.9,64.2,Swimming,Panama
3162,10,F,169.3,56.5,Synchronized Swimming,Czech Republic
3163,10,F,173.1,62.6,Synchronized Swimming,West Germany
3164,10,M,176.4,73.6,Table Tennis,Argentina
3165,10,M,170.1,64.2,Table Tennis,China-1
3166,10,M,173.8,65.3,Table Tennis,China-2
3167,10,M,178.7,73.1,Table Tennis,Hungary
3168,10,M,183.4,74.5,Table Tennis,India
3169,10,M,172.7,68.1,Table Tennis,Japan-1
3170,10,M,168.5,64.6,Table Tennis,Japan-2
3171,10,M,172.7,65.3,Table Tennis,South Korea-2
3172,10,F,177.3,63.8,Taekwondo,China
3173,10,F,170.9,54.7,Taekwondo,Chinese Taipei
3174,10,F,172.3,62.2,Taekwondo,South Korea
3175,10,M,181.4,68.9,Taekwondo,Spain
3176,10,F,179.0,64.6,Tennis,Czechoslovakia
3177,10,M,182.8,75.8,Tennis,France-2
3178,10,F,171.3,59.0,Tennis,India
3179,10,M,180.5,75.2,Tennis,Spain-2
3180,10,F,179.1,70.7,Tennis,United States-1
3181,10,M,192.0,86.9,Tennis,United States-1
3182,10,F,173.9,66.9,Tennis,United States-2
3183,10,M,191.3,89.0,Tennis,United States-2
3184,10,F,167.3,55.7,Triathlon,Italy
3185,10,M,169.8,62.0,Triathlon,Japan
3186,10,F,172.4,59.9,Triathlon,Russia
3187,10,M,183.6,72.8,Triathlon,Russia
3188,10,F,177.9,69.1,Volleyball,Bulgaria
3189,10,F,179.8,75.3,Volleyball,Cameroon
3190,10,F,170.3,73.9,Volleyball,North Korea
3191,10,M,189.3,90.1,Water Polo,Unified Team
3192,10,M,170.6,74.6,Weightlifting,Albania
3193,10,F,162.1,74.8,Weightlifting,Egypt
3194,10,M,173.2,90.7,Weightlifting,Estonia
3195,10,F,150.5,51.7,Weightlifting,Indonesia
3196,10,M,163.8,64.7,Weightlifting,Myanmar
3197,10,M,174.7,100.7,Weightlifting,Norway
3198,10,M,181.5,91.5,Wrestling,Czech Republic
3199,10,F,164.6,62.6,Wrestling,Germany
3200,9,M,174.11111111111111,73.0,Alpine Skiing,Morocco
3201,9,F,172.66666666666666,67.33333333333333,Alpine Skiing,Serbia
3202,9,M,181.33333333333334,83.33333333333333,Alpine Skiing,Unified Team
3203,9,F,163.77777777777777,59.111111111111114,Archery,North Korea
3204,9,F,166.88888888888889,64.33333333333333,Archery,Switzerland
3205,9,M,166.44444444444446,60.22222222222222,Athletics,Cambodia
3206,9,F,165.55555555555554,57.77777777777778,Athletics,Chad
3207,9,M,178.88888888888889,74.55555555555556,Athletics,Dominica
3208,9,M,176.77777777777777,67.55555555555556,Athletics,Guam
3209,9,F,166.11111111111111,65.88888888888889,Athletics,Haiti
3210,9,M,184.44444444444446,73.88888888888889,Athletics,Individual Olympic Athletes
3211,9,F,160.33333333333334,51.0,Athletics,Laos
3212,9,F,166.0,54.333333333333336,Athletics,Liechtenstein
3213,9,F,161.33333333333334,51.0,Athletics,Malawi
3214,9,M,181.11111111111111,91.33333333333333,Athletics,Samoa
3215,9,F,172.77777777777777,65.11111111111111,Badminton,Denmark-1
3216,9,F,172.66666666666666,63.888888888888886,Badminton,Denmark-2
3217,9,M,178.88888888888889,73.77777777777777,Badminton,Finland
3218,9,M,181.66666666666666,74.44444444444444,Badminton,Mauritius
3219,9,M,185.88888888888889,77.77777777777777,Badminton,Netherlands
3220,9,M,175.22222222222223,68.22222222222223,Badminton,Portugal
3221,9,M,173.55555555555554,65.11111111111111,Badminton,Singapore
3222,9,F,162.22222222222223,63.888888888888886,Badminton,South Africa
3223,9,F,170.44444444444446,61.0,Badminton,Switzerland
3224,9,F,185.22222222222223,75.33333333333333,Basketball,Unified Team
3225,9,M,177.88888888888889,70.66666666666667,Biathlon,Moldova
3226,9,M,165.77777777777777,56.55555555555556,Boxing,Laos
3227,9,M,167.55555555555554,59.55555555555556,Boxing,Niger
3228,9,M,175.55555555555554,62.22222222222222,Boxing,Tajikistan
3229,9,F,169.88888888888889,62.44444444444444,Canoeing,Slovenia
3230,9,F,168.66666666666666,58.333333333333336,Cross Country Skiing,Yugoslavia
3231,9,M,179.44444444444446,75.22222222222223,Curling,China
3232,9,M,182.11111111111111,87.11111111111111,Curling,Finland
3233,9,M,175.55555555555554,68.55555555555556,Cycling,Bolivia
3234,9,M,167.22222222222223,59.55555555555556,Cycling,El Salvador
3235,9,F,165.44444444444446,55.22222222222222,Diving,Poland
3236,9,M,172.44444444444446,68.33333333333333,Diving,Romania
3237,9,M,179.66666666666666,76.55555555555556,Equestrianism,Norway
3238,9,M,169.77777777777777,67.33333333333333,Equestrianism,Unified Team
3239,9,M,173.88888888888889,71.77777777777777,Equestrianism,Uruguay
3240,9,F,167.11111111111111,58.77777777777778,Fencing,Algeria
3241,9,M,175.0,71.33333333333333,Fencing,Algeria
